time p temp
1356 0 99.368195
1357 0 99.36014
1358 0 99.35208
1359 0 99.344025
1360 0 99.33597
1361 0 99.32791
1362 0 99.319855
1363 0 99.3118
1364 0 99.30374
1365 0 99.295685
1366 0 99.287636
1367 0 99.27959
1368 0 99.27154
1369 0 99.26349
1370 0 99.25544
1371 0 99.24739
1372 0 99.23934
1373 0 99.23129
1374 0 99.22324
1375 0 99.2152
1376 0 99.20716
1377 0 99.19912
1378 0 99.19108
1379 0 99.18304
1380 0 99.174995
1381 0 99.166954
1382 0 99.15891
1383 0 99.15087
1384 0 99.14283
1385 0 99.134796
1386 0 99.12676
1387 0 99.11873
1388 0 99.110695
1389 0 99.10266
1390 0 99.09463
1391 0 99.08659
1392 0 99.07856
1393 0 99.070526
1394 0 99.0625
1395 0 99.054474
1396 0 99.04645
1397 0 99.03842
1398 0 99.030396
1399 0 99.02237
1400 0 99.01434
1401 0 99.00632
1402 0 98.99829
1403 0 98.99027
1404 0 98.982254
1405 0 98.974236
1406 0 98.96622
1407 0 98.9582
1408 0 98.95018
1409 0 98.94216
1410 0 98.93414
1411 0 98.926125
1412 0 98.918106
1413 0 98.910095
1414 0 98.902084
1415 0 98.89407
1416 0 98.88606
1417 0 98.87805
1418 0 98.87004
1419 0 98.86203
1420 0 98.85402
1421 0 98.84601
1422 0 98.838005
1423 0 98.83
1424 0 98.822
1425 0 98.813995
1426 0 98.80599
1427 0 98.79799
1428 0 98.789986
1429 0 98.78198
1430 0 98.77398
1431 0 98.765976
1432 0 98.75798
1433 0 98.749985
1434 0 98.74199
1435 0 98.73399
1436 0 98.726
1437 0 98.718
1438 0 98.71001
1439 0 98.70201
1440 0 98.694016
1441 0 98.68603
1442 0 98.67804
1443 0 98.67005
1444 0 98.66206
1445 0 98.654076
1446 0 98.64609
1447 0 98.6381
1448 0 98.63011
1449 0 98.62212
1450 0 98.61414
1451 0 98.60616
1452 0 98.59818
1453 0 98.5902
1454 0 98.58222
1455 0 98.57424
1456 0 98.56626
1457 0 98.55828
1458 0 98.5503
1459 0 98.54232
1460 0 98.53435
1461 0 98.526375
1462 0 98.5184
1463 0 98.51043
1464 0 98.50246
1465 0 98.494484
1466 0 98.48651
1467 0 98.47854
1468 0 98.470566
1469 0 98.4626
1470 0 98.454636
1471 0 98.44667
1472 0 98.438705
1473 0 98.43074
1474 0 98.422775
1475 0 98.41481
1476 0 98.406845
1477 0 98.39888
1478 0 98.390915
1479 0 98.38296
1480 0 98.375
1481 0 98.36704
1482 0 98.359085
1483 0 98.35113
1484 0 98.34317
1485 0 98.33521
1486 0 98.327255
1487 0 98.3193
1488 0 98.31135
1489 0 98.3034
1490 0 98.29545
1491 0 98.2875
1492 0 98.27955
1493 0 98.2716
1494 0 98.26365
1495 0 98.2557
1496 0 98.24775
1497 0 98.2398
1498 0 98.23186
1499 0 98.223915
1500 0 98.21597
1501 0 98.20803
1502 0 98.20009
1503 0 98.19215
1504 0 98.184204
1505 0 98.17626
1506 0 98.16832
1507 0 98.160385
1508 0 98.15245
1509 0 98.144516
1510 0 98.13658
1511 0 98.12865
1512 0 98.12071
1513 0 98.11278
1514 0 98.10484
1515 0 98.09691
1516 0 98.08898
1517 0 98.081055
1518 0 98.07313
1519 0 98.0652
1520 0 98.057274
1521 0 98.04935
1522 0 98.04142
1523 0 98.03349
1524 0 98.025566
1525 0 98.01764
1526 0 98.00972
1527 0 98.0018
1528 0 97.99388
1529 0 97.98596
1530 0 97.97804
1531 0 97.97012
1532 0 97.962204
1533 0 97.954285
1534 0 97.946365
1535 0 97.93845
1536 0 97.93054
1537 0 97.92263
1538 0 97.91472
1539 0 97.90681
1540 0 97.898895
1541 0 97.89098
1542 0 97.88307
1543 0 97.87516
1544 0 97.86725
1545 0 97.859344
1546 0 97.85144
1547 0 97.84354
1548 0 97.83563
1549 0 97.82773
1550 0 97.819824
1551 0 97.81192
1552 0 97.804016
1553 0 97.79611
1554 0 97.788216
1555 0 97.78032
1556 0 97.77242
1557 0 97.76453
1558 0 97.75663
1559 0 97.74873
1560 0 97.74084
1561 0 97.73294
1562 0 97.725044
1563 0 97.71715
1564 0 97.70926
1565 0 97.70137
1566 0 97.69348
1567 0 97.68559
1568 0 97.677704
1569 0 97.669815
1570 0 97.66193
1571 0 97.65404
1572 0 97.64615
1573 0 97.63827
1574 0 97.63039
1575 0 97.622505
1576 0 97.614624
1577 0 97.60674
1578 0 97.59886
1579 0 97.59098
1580 0 97.5831
1581 0 97.57522
1582 0 97.56734
1583 0 97.55946
1584 0 97.55159
1585 0 97.54372
1586 0 97.53584
1587 0 97.52797
1588 0 97.520096
1589 0 97.51222
1590 0 97.50435
1591 0 97.496475
1592 0 97.4886
1593 0 97.480736
1594 0 97.47287
1595 0 97.465004
1596 0 97.45714
1597 0 97.44927
1598 0 97.44141
1599 0 97.43354
1600 0 97.425674
1601 0 97.41781
1602 0 97.40995
1603 0 97.40209
1604 0 97.39423
1605 0 97.386375
1606 0 97.37852
1607 0 97.37066
1608 0 97.3628
1609 0 97.35494
1610 0 97.347084
1611 0 97.339226
1612 0 97.331375
1613 0 97.323524
1614 0 97.315674
1615 0 97.30782
1616 0 97.29997
1617 0 97.29212
1618 0 97.28427
1619 0 97.27642
1620 0 97.26857
1621 0 97.26073
1622 0 97.252884
1623 0 97.24504
1624 0 97.2372
1625 0 97.229355
1626 0 97.22151
1627 0 97.21367
1628 0 97.205826
1629 0 97.19798
1630 0 97.19014
1631 0 97.182304
1632 0 97.17447
1633 0 97.16663
1634 0 97.1588
1635 0 97.15096
1636 0 97.14313
1637 0 97.13529
1638 0 97.12746
1639 0 97.11962
1640 0 97.11179
1641 0 97.103966
1642 0 97.09614
1643 0 97.08831
1644 0 97.08048
1645 0 97.072655
1646 0 97.06483
1647 0 97.057
1648 0 97.04917
1649 0 97.04134
1650 0 97.03352
1651 0 97.0257
1652 0 97.01788
1653 0 97.01006
1654 0 97.00224
1655 0 96.99442
1656 0 96.9866
1657 0 96.97878
1658 0 96.97096
1659 0 96.96314
1660 0 96.95533
1661 0 96.94752
1662 0 96.939705
1663 0 96.93189
1664 0 96.92408
1665 0 96.91627
1666 0 96.908455
1667 0 96.90064
1668 0 96.89283
1669 0 96.885025
1670 0 96.87722
1671 0 96.869415
1672 0 96.86161
1673 0 96.853806
1674 0 96.846
1675 0 96.838196
1676 0 96.83039
1677 0 96.822586
1678 0 96.81478
1679 0 96.806984
1680 0 96.79919
1681 0 96.79139
1682 0 96.78359
1683 0 96.775795
1684 0 96.768
1685 0 96.7602
1686 0 96.7524
1687 0 96.744606
1688 0 96.73682
1689 0 96.72903
1690 0 96.72124
1691 0 96.71345
1692 0 96.70566
1693 0 96.69787
1694 0 96.69008
1695 0 96.68229
