time,output,temp
410,971,51.46078
411,967,51.540276
412,963,51.619762
413,959,51.69924
414,955,51.778713
415,951,51.858177
416,947,51.937634
417,943,52.01708
418,939,52.096516
419,935,52.175945
420,931,52.255367
421,927,52.33478
422,922,52.41419
423,918,52.493587
424,914,52.57298
425,910,52.652363
426,906,52.731735
427,902,52.8111
428,898,52.890457
429,894,52.969807
430,890,53.04915
431,886,53.128483
432,882,53.20781
433,878,53.28713
434,874,53.36644
435,870,53.44574
436,866,53.525032
437,862,53.604317
438,858,53.683594
439,854,53.762863
440,850,53.842125
441,845,53.92138
442,841,54.000626
443,837,54.079865
444,833,54.159092
445,830,54.23831
446,826,54.317524
447,822,54.39673
448,817,54.475925
449,813,54.555115
450,809,54.634296
451,805,54.71347
452,801,54.792637
453,797,54.87179
454,793,54.95094
455,789,55.03008
456,785,55.10921
457,781,55.188335
458,777,55.267452
459,773,55.34656
460,769,55.425663
461,765,55.504757
462,761,55.583843
463,757,55.662918
464,753,55.741985
465,749,55.821045
466,744,55.900097
467,740,55.97914
468,736,56.058178
469,733,56.137207
470,729,56.21623
471,725,56.295242
472,721,56.374245
473,716,56.45324
474,712,56.532227
475,708,56.611206
476,704,56.690178
477,700,56.769142
478,696,56.8481
479,692,56.927048
480,688,57.00599
481,684,57.084923
482,680,57.163845
483,676,57.24276
484,672,57.321667
485,668,57.400566
486,664,57.479458
487,660,57.558342
488,656,57.63722
489,652,57.716087
490,648,57.79495
491,644,57.873802
492,640,57.952644
493,636,58.03148
494,632,58.110306
495,628,58.189125
496,624,58.267937
497,620,58.34674
498,616,58.425537
499,612,58.504326
500,608,58.583107
501,604,58.66188
502,600,58.740643
503,595,58.819397
504,591,58.898144
505,588,58.976883
506,584,59.055614
507,580,59.13434
508,576,59.213055
509,571,59.291763
510,567,59.370464
511,563,59.449158
512,559,59.527843
513,556,59.606518
514,552,59.685184
515,547,59.763844
516,543,59.842495
517,539,59.92114
518,535,59.999775
519,531,60.078403
520,528,60.157024
521,523,60.235638
522,519,60.314243
523,515,60.392838
524,511,60.471424
525,507,60.550003
526,503,60.628574
527,499,60.707138
528,495,60.785694
529,491,60.864243
530,487,60.942783
531,483,61.021317
532,479,61.099842
533,475,61.17836
534,471,61.256866
535,467,61.335365
536,463,61.413857
537,459,61.49234
538,455,61.570816
539,451,61.649284
540,447,61.727745
541,443,61.8062
542,439,61.884644
543,435,61.96308
544,431,62.04151
545,427,62.119934
546,423,62.198345
547,419,62.27675
548,415,62.355145
549,411,62.433533
550,407,62.511913
551,403,62.590286
552,399,62.66865
553,395,62.74701
554,391,62.82536
555,387,62.9037
556,383,62.982037
557,379,63.06036
558,375,63.138676
559,371,63.216984
560,367,63.295284
561,363,63.373577
